"","Date","Category","Credit","Debit"
"1","06/09/2023","Health & Lifestyle/",NA,-8.8
"2","06/09/2023","Transportation/",NA,-40.17
"3","06/08/2023","Health & Lifestyle/",NA,-9.33
"4","06/08/2023","Entertainment/",NA,-6.32
"5","06/07/2023","Shopping/",NA,-148.95
"6","06/07/2023","Health & Lifestyle/",NA,-8.49
"7","06/07/2023","Paycheck, Pensions & Annuity/",810.43,NA
"8","06/06/2023","Payments & Transfers/",NA,-40
"9","06/06/2023","Shopping/",NA,-33.76
"10","06/05/2023","Payments & Transfers/",NA,-50
"11","06/05/2023","Shopping/",NA,-15.81
"12","06/05/2023","Health & Lifestyle/",NA,-8.84
"13","06/05/2023","Groceries/",136.1,NA
"14","06/02/2023","Groceries/",NA,-9.17
"15","06/02/2023","Health & Lifestyle/",NA,-9.7
"16","06/02/2023","Internal Transfers/",25,NA
"17","06/01/2023","Groceries/",NA,-156.12
"18","06/01/2023","Transportation/",NA,-2
"19","05/31/2023","Health & Lifestyle/",NA,-11.64
"20","05/31/2023","Transportation/",NA,-3.29
"21","05/31/2023","Transportation/",NA,-30.49
"22","05/31/2023","Groceries/",NA,-23.23
"23","05/30/2023","Entertainment/",NA,-10.54
"24","05/30/2023","Dining/",NA,-13
"25","05/30/2023","Dining/",NA,-9
"26","05/30/2023","Transportation/",NA,-6.78
"27","05/30/2023","Groceries/",NA,-13.27
"28","05/30/2023","Dining/",NA,-40
"29","05/30/2023","Transportation/",NA,-34.55
"30","05/26/2023","Health & Lifestyle/",NA,-10.9
"31","05/26/2023","Shopping/",NA,-1
"32","05/25/2023","Office Expenses/",NA,-27.41
"33","05/25/2023","Health & Lifestyle/",NA,-9.59
"34","05/25/2023","Transportation/",NA,-41.44
"35","05/24/2023","Savings & Investments/",NA,-200
"36","05/24/2023","Transportation/",NA,-38.98
"37","05/24/2023","Health & Lifestyle/",NA,-6
"38","05/24/2023","Paycheck, Pensions & Annuity/",798.27,NA
